Blog	nature	cream	details	lovely	yours	flight	machine	unfortunately	buying	garden	hall	previous	six	continue	exciting	drink	human	hospital	smell	h	woke	built	bear	covered	wild	november	letter	w	count	herself	greatest	nd	fear	worst	natural	letting	ate	gotten	de	calls	west	speed	obviously	showing	meaning	co	throughout	regular	artist	creative	interest	mentioned	presents	thanksgiving	north	goodbye	vacation	figured	okay	island	changing	difficult	south	cross	afraid	plane	kill	begin	moon	title	staying	created	hat	chair	seconds	cards	legs	sea	teach	drove	ya	general	crying	currently	reality	honest	fat	appreciate	station	pack	among	posts	mood	began	opening	thinks	film	chris	quality	silly	french	push	particular	ourselves	changes	hasn	jump	bet	language	nervous	program	series	january	credit	sugar	members	scene	cost	beyond	smart	radio	dr	paid	paint	tea	war	soft	immediately	dry	managed	bowl	involved	lay	eventually	background	pants	dirty	dogs	king	santa	celebration	dropped	asleep	slowly	mad	lesson	actual	healthy	fingers	result	offer	consider	river	followed	wet	easily	action	bird	david	article	halloween	contact	board	events	included	wine	magic	system	excuse	match	scared	whenever	inspired	key	dressed	cheap	adventure	include	sight	taught	skin	gotta	search	bus	comfortable	album	strange	hearing	hole	literally	mail	bottle	collection	lines	player	uncle	shower	ring	lie	performance	joined	image	packed	effort	becoming	lazy	difference	anywhere	anniversary	james	mountain	hearts	closed	february	position	seat	trust	row	apartment	focus	hill	birth	ah	rose	jesus	walls	per	serve	planning	shall	race	ends	blame	rules	besides	mini	lord	sale	seven	scary	edge	doctor	festival	discovered	friendly	michael	restaurant	despite	challenge	blast	concert	sharing	carry	videos	latest	california	pre	san	lessons	screen	grab	mixed	helps	character	laughed	faces	term	kinda	community	kiss	according	bill	boring	planned	holidays	dying	familiar	journey	stupid	further	tells	laid	shape	perhaps	angel	ha	blogs	midnight	shoot	mess	breaking	health	jack	heads	honestly	wanting	teeth	force	grade	lake	practice	reminds	apple	eve	battle	higher	cd	field	design	member	doors	checked	cheese	wanna	saved	tickets	handle	slept	reminded	camp	nobody	musical	cousin	magazine	colors	doubt	airport	studio	feelings	square	brand	ear	harder	giant	younger	shouldn	bringing	golden	crowd	teacher	pulling	expensive	finger	sometime	direction	breath	smoke	birds	students	hardly	interview	subject	common	mirror	animals	typical	bags	remembered	progress	wood	product	allowed	ears	sisters	hide	setting	press	session	checking	hadn	expected	build	issues	thankful	degrees	positive	modern	served	plenty	states	hungry	aside	tough	skills	suddenly	arm	notes	grandma	fix	sang	mid	joke	hung	cash	kinds	successful	babies	picking	daddy	national	passing	ma	guest	painting	gas	goal	pray	release	east	rolling	social	continued	shut	terrible	mary	george	parking	blow	various	rich	decision	popular	loss	talent	hilarious	describe	respect	classic	delicious	falls	pizza	certainly	coast	tom	via	student	ending	cell	otherwise	success	bye	streets	university	begins	eggs	easter	yard	youth	heading	relationship	results	forth	nose	fashion	drinking	swear	ain	distance	obvious	lonely	projects	puts	block	effect	honey	everybody	review	former	likely	numbers	female	pics	talented	fully	towards	value	shots	gifts	officially	highly	freedom	neck	agree	barely	related	mike	signed	annual	master	excitement	runs	crew	ocean	fourth	chose	sex	spread	flash	burn	pure
Trail Running in Hong Kong and beyond	4	0	3	3	0	8	7	33	3	1	1	1	11	3	4	13	2	2	4	8	4	0	0	10	5	5	6	3	4	6	2	4	3	4	5	0	5	0	79	1	8	5	10	9	7	0	1	2	1	1	2	6	0	0	6	6	0	1	1	15	2	18	3	3	3	14	4	3	1	5	1	5	1	2	2	4	2	8	0	0	0	4	0	9	3	3	6	0	26	2	4	4	3	2	6	1	9	0	9	1	1	3	2	3	2	0	4	1	7	0	2	2	1	2	2	0	4	11	0	4	1	0	7	0	1	1	2	4	7	44	0	0	0	0	4	0	2	0	3	2	0	1	2	6	1	11	9	3	0	2	6	1	1	8	6	9	11	2	0	3	0	7	5	2	1	6	0	9	4	3	1	3	5	3	3	9	5	1	4	1	2	0	10	27	1	1	13	2	2	2	4	2	0	17	3	0	2	1	0	0	7	0	5	3	0	2	2	11	1	0	10	0	10	2	5	4	2	7	16	1	12	2	2	0	0	0	26	1	5	0	15	2	2	2	0	0	0	5	0	7	3	0	0	2	13	0	8	2	1	0	1	3	3	1	3	0	0	1	1	7	0	2	4	0	2	1	1	1	3	0	8	2	4	12	4	0	1	2	7	11	2	0	0	0	0	0	10	4	4	1	3	8	2	0	0	0	1	3	0	0	0	4	0	1	4	3	1	1	4	1	9	6	0	0	2	4	1	0	4	0	8	0	0	9	0	2	10	0	0	3	0	0	0	0	3	3	3	2	5	0	2	20	0	0	11	1	5	4	1	10	0	7	7	0	0	1	4	2	1	1	0	6	0	1	2	2	5	2	7	0	11	4	3	0	7	3	1	3	2	1	3	2	2	1	14	1	3	0	1	1	1	3	1	1	4	0	1	7	0	3	6	4	3	0	2	4	0	0	15	0	0	0	2	3	0	0	2	1	0	4	1	6	0	0	0	7	4	1	0	1	1	0	6	0	6	1	2	0	1	1	1	14	2	0	0	0	0	0	0	1	3	4	6	0	5	0	0	4	2	2	2	1	2	2	0	5	1	6	10	2	1	0	1	4	15	6	0	3	0	0	0	4	2	1	6	4	1	1	0	2	0	0	0	0	1	0	1	1	0	3
calibjornia	2	3	3	0	4	2	2	8	2	1	2	5	6	2	0	12	1	0	1	4	0	5	6	2	1	2	2	0	1	1	6	2	0	3	1	2	0	5	7	4	8	5	0	2	1	6	2	2	22	1	5	0	0	0	4	1	3	5	26	8	1	3	10	3	1	1	3	0	3	3	0	2	2	2	0	2	4	1	0	0	7	4	0	0	5	0	2	1	3	3	13	0	2	3	5	3	12	2	2	6	4	0	2	0	1	2	1	5	5	1	3	26	1	4	2	1	8	5	2	15	6	19	2	2	0	3	4	0	0	5	0	3	1	2	5	1	1	2	6	4	0	0	1	2	15	0	0	1	0	5	3	3	1	1	1	3	18	0	10	13	0	1	4	1	1	2	2	1	0	0	1	0	5	1	0	3	2	2	0	0	0	7	1	0	0	56	3	2	2	1	2	1	2	3	5	1	2	1	0	3	1	1	5	1	5	1	0	2	0	9	2	1	3	4	3	1	2	0	1	2	1	0	0	5	1	2	10	0	2	1	0	1	0	4	1	4	2	3	7	3	9	3	4	0	6	17	3	1	3	0	4	0	1	11	13	5	0	3	0	3	3	1	1	24	0	1	2	11	2	1	8	4	13	0	0	0	2	1	6	1	2	4	0	5	1	1	4	1	1	1	4	4	21	1	0	0	3	0	0	2	2	3	6	1	5	1	10	1	7	1	0	5	1	8	1	2	0	0	0	1	2	4	0	16	1	0	2	3	0	0	10	1	0	2	2	5	3	2	6	4	0	5	1	0	3	0	5	0	1	4	9	2	8	0	1	3	0	0	9	3	5	1	0	0	2	2	6	2	4	2	0	3	6	0	0	3	2	0	6	2	0	0	1	3	5	0	0	0	0	1	5	5	1	1	0	5	3	3	2	4	1	0	7	1	3	0	1	11	1	3	11	0	1	1	0	3	0	2	9	4	1	9	0	2	1	0	3	15	0	1	1	0	11	3	3	0	9	4	6	10	0	3	4	0	0	0	0	2	0	3	0	6	1	13	7	0	5	1	1	0	0	0	2	1	0	5	1	2	4	1	8	3	3	3	6	3	0	0	3	4	0	0	3	0	0	4	1	2	2	1	1	2	2	0	0	5	1	7	0	3
Web Science and Digital Libraries Research Group	14	3	43	2	3	4	100	16	1	0	4	46	11	11	9	1	47	0	1	19	0	27	0	29	3	24	7	29	14	1	1	7	3	5	12	2	0	1	61	4	5	12	8	32	18	35	8	21	2	9	35	58	8	1	18	0	0	2	0	3	15	23	2	14	3	3	1	17	1	80	1	131	16	14	23	2	0	24	1	7	0	37	0	64	6	0	2	4	8	1	27	47	7	36	21	3	1	7	38	0	7	5	27	2	54	2	3	4	75	2	68	49	20	1	0	60	0	20	23	6	12	123	5	0	1	9	7	13	1	8	2	20	2	11	12	0	0	1	1	6	9	5	1	0	0	1	18	0	1	42	9	13	3	68	0	22	9	0	54	74	2	5	5	37	45	0	5	121	0	12	0	2	18	18	0	3	5	43	2	19	0	0	175	4	2	0	1	25	4	0	14	1	124	7	5	3	1	0	3	59	7	84	4	26	5	0	26	2	6	14	1	0	12	18	20	0	8	0	3	37	6	0	7	2	0	3	49	10	13	0	6	2	5	9	1	1	0	1	5	0	28	1	1	26	6	206	8	7	27	1	0	32	2	52	16	17	20	48	6	30	7	4	16	9	4	5	48	0	70	0	17	10	1	6	0	1	18	5	0	64	1	0	6	18	9	2	13	0	0	1	7	13	3	3	0	0	0	8	1	4	23	0	7	0	2	22	21	38	37	21	1	6	1	1	8	1	28	0	8	15	2	2	0	9	4	2	9	3	6	1	1	5	4	4	1	4	13	0	37	0	5	6	0	6	11	1	0	4	93	1	17	15	25	5	0	4	2	2	17	3	22	21	0	3	1	5	22	251	9	2	17	36	40	0	1	13	10	12	0	26	0	2	3	5	1	1	18	0	2	0	1	1	0	1	5	24	0	1	0	84	18	3	4	1	1	39	0	36	3	1	158	36	2	1	8	32	3	0	91	16	5	32	24	1	0	23	14	7	19	0	0	6	3	4	51	37	4	1	14	14	3	1	232	8	0	2	0	1	2	18	106	4	4	4	0	0	0	7	4	2	94	6	2	24	0	4	36	14	23	22	2	0	0	10	15	77	1	1	4	11	4	0	3	2	74	9	4	9	29	2	4	1	1	7	14	3	38	3	2	2
Wipeurtears ~ Centralized Online Help	39	6	10	4	21	0	1	2	4	7	1	7	15	12	7	11	49	14	4	6	1	9	6	6	11	21	9	2	12	2	16	14	21	5	26	12	7	1	8	14	25	17	2	8	19	23	13	13	3	10	26	3	2	16	18	3	1	0	4	5	15	62	23	8	12	5	6	24	19	11	3	16	0	0	7	9	0	12	10	0	1	17	17	2	17	20	16	13	2	2	34	0	8	10	2	3	6	0	18	0	1	4	11	25	25	1	7	1	22	5	5	1	2	13	28	16	2	8	31	15	63	8	6	3	10	1	13	8	10	1	8	26	4	9	1	1	1	3	8	2	6	0	0	8	4	11	11	32	7	28	38	18	8	1	2	48	8	3	2	9	0	19	4	8	2	10	4	39	0	43	7	8	2	14	3	1	6	20	10	7	12	0	8	1	26	7	5	8	1	1	10	2	3	6	3	0	4	9	9	32	2	7	1	15	11	4	14	7	1	1	7	30	9	22	58	4	35	0	1	9	2	21	1	9	5	9	16	8	15	13	4	6	10	11	5	1	120	1	9	1	2	23	20	12	10	1	0	9	12	1	0	5	29	2	6	1	6	0	16	2	3	25	17	15	2	5	4	0	7	25	21	6	3	6	8	2	1	11	3	27	1	7	11	16	9	3	0	4	1	1	6	123	4	6	3	12	13	11	0	1	13	3	0	0	2	22	1	20	38	4	4	3	5	8	1	0	16	0	2	1	8	3	2	4	0	11	5	2	53	2	3	7	5	1	4	9	5	4	3	2	2	2	5	4	31	44	2	4	9	4	6	4	34	6	9	2	1	3	16	6	13	5	6	1	13	8	1	4	3	0	9	19	13	5	5	29	12	7	8	7	0	7	22	30	3	2	4	0	1	2	0	7	1	7	5	24	0	0	1	6	6	5	4	3	11	20	13	7	8	3	31	1	6	4	0	1	0	6	30	8	12	14	22	4	0	3	33	12	1	1	1	13	3	0	4	6	8	27	19	28	0	3	10	9	6	0	2	3	1	87	21	2	20	6	3	2	1	13	6	6	4	4	1	19	2	6	2	4	51	8	21	0	2	9	44	35	0	14	0	25	12	11	1	3	28	0	5	4	6	8	2	0	8	3	0	18	5	0	10	11
My Fortress of Solitude	4	2	0	0	2	2	5	4	1	1	0	5	0	9	0	1	9	0	0	0	3	1	1	2	1	0	1	10	0	3	13	7	4	5	1	7	1	10	0	1	21	1	1	5	2	0	11	2	14	9	1	0	0	0	0	6	0	0	7	0	1	0	4	2	7	0	3	2	2	1	1	1	0	2	5	0	2	1	0	0	26	2	3	13	5	4	1	12	0	2	1	17	8	2	0	3	24	26	7	3	2	5	2	2	4	9	3	13	2	0	0	4	0	0	0	5	6	0	6	1	4	4	4	2	1	10	0	4	1	0	1	7	0	2	3	4	2	0	7	0	0	17	5	6	13	0	3	0	1	4	2	0	0	3	0	1	10	0	2	0	0	2	0	2	0	0	1	3	2	9	3	5	0	3	1	0	0	0	2	1	1	27	3	1	1	207	0	16	1	4	0	0	0	5	0	0	3	2	12	17	2	1	0	1	1	6	0	1	0	6	0	2	1	0	2	1	3	0	0	5	0	1	2	5	2	1	0	2	0	2	4	5	4	5	8	1	1	0	0	5	4	1	0	0	3	3	0	1	0	0	2	0	1	48	1	1	0	0	0	6	2	8	4	5	2	3	2	50	2	3	2	1	2	1	1	5	3	4	4	1	6	3	4	0	1	0	3	2	2	3	2	0	2	3	28	4	5	2	2	0	0	11	1	0	7	3	8	0	0	3	1	0	0	56	2	0	2	4	2	0	2	7	0	0	3	3	0	3	5	1	0	2	0	4	5	2	3	2	1	1	0	1	0	5	3	3	3	0	0	0	3	2	0	2	0	7	1	2	2	1	0	1	4	0	0	1	3	1	1	3	6	1	0	1	0	5	0	3	0	1	5	7	1	4	3	0	2	0	0	1	1	1	2	0	1	6	0	1	4	0	4	0	2	1	0	0	1	6	1	1	1	0	4	2	2	1	0	2	6	3	1	6	4	9	22	2	11	7	0	3	1	1	1	0	1	1	6	0	1	3	0	2	1	7	0	1	0	2	4	17	0	4	1	2	0	11	11	0	5	2	3	6	1	4	0	2	7	2	5	2	17	1	10	9	1	6	8	0	10	1	2	1	5	1	1	3	1	0	1	0	5	2	4	0	0	3	2	1	0	5
Unhinged	2	1	1	0	1	3	4	0	3	0	1	0	13	0	0	4	1	0	12	2	9	0	3	1	1	5	4	0	7	1	1	1	6	4	0	0	7	3	4	0	3	1	3	2	1	6	0	0	2	2	2	0	2	7	1	3	2	7	21	5	0	4	1	2	3	0	8	1	2	4	1	0	0	4	4	1	2	0	2	2	5	0	1	0	0	0	0	1	3	1	1	9	1	3	0	2	4	0	0	1	2	2	1	0	0	4	3	4	1	1	1	4	1	2	3	0	1	0	0	1	6	1	0	1	1	0	1	1	3	0	1	1	1	0	0	7	4	0	0	5	1	1	2	2	2	0	0	1	1	3	3	5	1	2	4	3	1	0	1	1	3	0	2	2	0	17	4	2	4	1	5	3	5	2	3	0	3	1	2	0	1	1	3	8	1	0	1	2	3	0	4	4	0	0	4	1	6	1	4	1	0	2	2	2	0	3	0	1	2	0	1	1	1	0	0	4	1	5	18	1	0	2	6	1	0	4	1	0	1	0	2	0	2	3	3	0	0	0	5	0	2	2	0	0	1	6	4	1	3	2	3	0	3	3	1	3	0	1	0	7	0	0	0	12	4	1	0	4	2	2	0	0	3	0	6	1	0	0	5	1	2	0	1	1	1	1	2	2	0	0	4	0	3	0	0	3	5	3	2	0	2	2	0	4	0	0	0	0	1	1	1	2	1	2	2	1	1	1	1	2	3	0	0	2	3	2	1	6	3	1	0	3	0	0	0	2	1	0	0	1	5	0	4	1	0	5	1	2	0	0	4	0	3	3	0	0	1	4	2	3	1	5	1	0	1	2	3	0	0	1	2	1	3	0	4	1	2	2	2	1	1	2	4	2	1	0	0	2	2	0	2	1	0	3	1	1	1	0	1	3	3	2	0	3	2	2	1	1	2	0	0	0	2	0	1	1	1	5	0	1	1	1	1	1	2	2	0	0	0	0	2	0	0	0	1	0	1	7	3	1	0	0	0	1	0	0	0	0	0	1	0	1	11	1	3	1	0	0	0	0	0	0	1	1	0	1	2	0	0	3	4	1	0	1	2	0	0	1	0	0	1	4	0	1	0	0	4	1	0	2	2	1	1	1	0	3	3	9	3	1
Gardening & Family Adventures	4	7	1	0	2	0	0	2	1	19	2	4	0	0	3	0	0	7	2	7	4	2	1	4	1	1	2	7	1	2	6	5	12	1	3	3	2	2	2	0	0	5	5	5	4	0	4	3	2	0	2	1	0	8	2	6	0	2	3	1	0	2	1	3	3	0	1	1	0	1	5	1	2	1	1	1	3	0	1	1	3	1	4	3	2	1	3	1	1	1	1	7	1	1	4	0	0	1	2	5	2	3	3	0	0	2	3	3	2	3	1	1	0	0	13	5	0	2	1	1	1	1	1	2	2	0	3	1	2	6	8	3	1	1	4	0	2	3	0	3	5	2	3	1	3	4	1	2	1	1	0	1	1	2	6	3	2	3	0	0	3	0	0	8	1	1	2	2	1	1	0	2	4	0	4	0	0	2	5	5	2	0	1	7	2	0	1	3	1	2	1	0	0	1	2	4	3	1	0	3	3	0	5	4	2	1	3	5	5	1	0	4	2	0	2	1	1	5	1	1	2	1	29	5	0	2	5	2	3	1	3	0	0	5	2	1	1	0	0	2	1	4	2	1	6	3	0	4	2	6	0	4	2	0	0	0	0	2	16	0	5	2	5	0	0	3	1	3	4	0	0	1	6	1	0	0	3	5	0	1	1	2	2	4	2	7	2	1	0	0	1	1	1	5	1	1	9	0	17	3	13	2	3	11	3	2	1	9	1	3	3	6	3	2	0	1	1	3	3	8	0	1	4	0	4	1	1	2	4	2	0	1	0	0	3	0	2	9	0	37	0	1	4	0	0	3	0	6	6	5	0	4	4	0	1	1	0	2	6	1	0	4	1	3	0	3	0	0	2	2	2	0	2	6	9	6	0	1	0	1	3	1	1	4	2	0	2	17	0	0	1	0	7	2	0	0	0	0	0	0	1	1	0	3	1	4	1	8	1	2	1	2	2	3	1	1	1	1	5	7	0	0	0	0	2	2	0	0	9	3	2	2	0	1	0	3	0	0	3	4	3	1	3	1	9	4	11	2	2	0	3	13	1	0	0	2	0	0	1	1	1	2	2	0	0	0	0	2	1	0	1	14	1	2	0	0	2	8	1	0	4	1	0	2	7	2	0	9	0	2	1	0	0	0	3	0	5	3	1	1
Rice and Shine	0	4	1	1	5	0	1	0	0	3	1	0	1	1	5	4	0	3	0	1	6	0	1	1	0	0	3	0	2	3	2	6	3	0	0	3	10	3	1	0	0	0	3	1	2	0	1	0	1	1	1	0	0	9	0	0	6	4	24	1	2	2	0	0	0	1	4	0	0	1	1	1	8	1	4	3	2	2	3	14	0	1	9	0	0	2	2	2	1	5	0	1	2	2	0	1	0	0	1	0	1	1	0	2	0	1	2	0	0	10	1	0	2	1	4	5	0	1	0	4	0	2	3	1	3	0	2	3	2	1	6	0	4	0	1	0	1	0	1	1	1	5	7	1	4	2	1	3	3	0	0	1	3	1	1	0	2	0	0	0	7	0	0	2	1	0	0	0	1	2	8	1	0	5	4	3	2	3	2	0	4	5	0	0	3	0	0	1	0	3	1	2	0	0	0	4	0	1	0	1	0	0	0	0	2	3	1	1	3	1	2	3	1	1	3	1	0	5	0	0	3	3	0	0	4	1	0	0	1	0	3	2	4	0	1	2	1	1	0	4	1	7	0	1	0	0	1	0	1	6	0	0	0	1	1	1	3	7	1	1	3	2	1	1	2	4	0	19	0	2	1	1	0	0	0	2	0	0	3	0	1	2	0	0	3	5	3	0	2	6	1	0	0	2	1	1	5	0	8	2	2	1	5	4	0	2	0	1	0	2	0	4	8	2	1	1	2	3	0	0	2	3	9	1	4	0	1	0	0	1	2	3	1	0	4	0	1	0	1	12	2	0	2	0	0	1	0	0	1	1	0	0	1	0	3	4	3	1	1	2	0	2	2	6	2	1	0	0	4	0	1	2	1	0	4	1	0	0	2	0	1	0	0	1	2	3	2	6	2	10	1	2	2	1	0	0	1	3	4	0	1	0	1	2	0	0	3	0	0	3	1	0	0	6	0	0	3	2	0	0	1	1	0	2	1	3	0	1	1	2	7	0	0	1	0	5	0	6	0	2	1	1	0	2	6	21	4	0	1	1	0	2	1	3	1	2	0	1	2	0	5	1	1	2	2	2	0	0	1	5	0	6	1	0	1	1	0	0	1	1	2	3	0	0	0	0	1	2	0	2	0	0	2	0	6	1	1	0	1	1
lancelott	2	2	1	1	1	0	4	3	1	1	0	3	0	2	2	0	3	0	1	2	0	2	1	0	0	0	0	0	0	0	3	0	4	2	2	1	3	2	1	2	0	1	5	1	1	5	0	1	2	0	1	1	0	4	1	0	2	0	0	0	5	0	0	0	1	2	2	0	1	3	0	1	0	1	1	0	1	0	2	0	2	3	0	0	0	3	1	1	1	1	0	2	0	0	1	1	2	0	0	2	2	1	3	0	3	0	2	1	1	0	0	2	1	1	0	0	1	0	3	5	0	2	1	0	0	1	1	4	0	0	7	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	8	2	0	1	0	0	2	1	1	0	3	0	1	1	0	1	0	1	1	1	2	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	2	2	1	1	0	3	1	2	1	1	0	2	0	1	6	0	4	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	2	1	1	3	1	0	1	0	0	2	4	5	0	3	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	2	2	0	0	0	2	2	0	1	1	9	0	1	1	0	0	0	0	2	1	0	0	0	1	0	3	5	1	1	1	0	0	0	2	0	2	1	2	1	0	1	0	0	0	7	0	0	1	0	4	0	4	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	1	2	0	1	0	0	0	4	1	1	0	1	1	0	2	2	0	2	0	0	3	0	0	0	4	1	4	1	0	0	1	0	0	0	1	0	3	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	2	1	0	0	0	0	1	0	2	1	0	1	1	0	6	0	1	0	0	7	2	1	3	2	0	0	2	1	0	2	1	0	7	1	0	0	2	1	3	0	1	0	0	1	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	4	0	4	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0
Diary Of A Podgypoof	1	0	0	3	1	3	0	2	0	3	0	0	1	0	1	3	2	7	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	2	2	0	0	1	0	3	1	1	0	0	17	0	1	0	0	5	0	0	3	0	0	1	1	0	0	5	4	0	0	0	3	0	0	1	1	0	0	0	0	0	0	1	1	5	0	0	1	0	0	0	0	2	1	0	1	0	0	0	1	1	0	0	2	1	0	2	1	0	0	0	0	1	3	1	1	0	0	1	3	0	0	1	1	0	1	0	1	2	0	0	0	1	2	1	0	4	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	1	0	2	2	9	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	1	2	2	0	1	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	2	9	2	1	1	1	2	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	10	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	1	1	0	5	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	7	0	2	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	4	3	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
Alex's Little Heaven	0	0	0	2	6	3	0	0	0	0	0	0	0	2	1	1	2	1	0	2	1	1	0	0	0	0	0	1	0	1	4	0	1	4	1	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	9	1	0	14	0	0	0	0	1	6	1	3	1	0	0	0	0	0	1	2	0	0	1	2	0	2	0	4	0	0	2	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	1	3	0	1	0	0	0	0	0	0	1	0	4	0	0	1	2	0	1	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	4	0	0	1	5	1	0	1	0	0	0	0	1	1	1	3	2	0	4	0	0	2	0	1	0	0	0	0	0	0	2	2	0	1	0	0	0	0	3	0	1	15	0	0	0	0	4	0	0	0	0	0	0	1	1	2	0	0	4	2	1	1	0	0	0	0	1	1	1	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	8	1	0	0	0	2	0	2	2	1	1	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	3	0	0	1	1	0	1	0	0	3	1	0	0	0	5	1	2	0	0	0	1	2	1	0	1	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	17	0	1	0	0	0	0	3	0	0	0	0	0	1	0	13	1	2	3	2	0	0	0	1	0	2	0	0	0	1	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	3	2	0	2	1	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	1	2	0	3	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	3	0	0	0	1	1	5	11	5	1	0	1	0	0	0	0	5	0	2	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0
Southern Hospitality in the Last Frontier	1	2	3	16	0	0	0	15	2	0	0	2	1	8	12	3	0	6	1	0	3	0	12	1	0	2	2	1	1	2	2	9	1	1	0	1	3	8	2	1	0	1	2	0	1	2	1	6	0	2	5	2	5	4	4	4	10	3	12	10	3	4	10	0	0	5	3	4	0	5	5	2	1	7	0	7	1	1	1	2	1	3	0	2	0	2	2	1	0	1	2	6	2	1	1	0	3	4	0	5	0	0	5	6	9	5	3	0	1	1	9	2	6	2	1	2	3	4	3	6	0	1	0	3	0	0	1	0	2	1	3	2	0	1	3	1	1	1	3	1	3	1	1	1	4	3	6	7	1	1	1	2	1	0	1	2	2	5	1	3	1	2	9	1	3	4	1	0	2	0	0	7	1	1	2	2	12	1	1	0	4	3	3	0	3	0	1	2	1	2	1	4	3	0	1	5	3	0	2	3	1	0	1	2	0	2	1	8	4	110	2	1	0	5	0	0	0	4	13	2	1	2	1	0	1	3	0	3	8	2	2	2	5	0	1	2	3	7	0	3	0	1	6	3	0	1	1	4	2	0	1	4	1	8	2	1	0	0	1	1	2	2	1	3	2	1	2	2	5	1	2	4	2	2	1	2	0	1	3	4	2	1	1	2	0	1	2	3	2	1	1	1	0	0	1	0	2	2	4	3	0	1	5	3	1	0	2	1	3	3	0	0	3	0	0	3	4	2	0	1	1	0	2	1	1	1	0	0	1	0	2	0	3	3	2	1	0	1	0	1	0	2	0	2	0	3	0	0	1	0	0	9	2	1	1	0	1	1	1	5	5	4	1	0	1	1	1	0	0	1	0	3	1	3	2	1	0	0	3	4	1	0	1	1	1	1	0	0	1	0	1	2	3	0	0	1	1	2	0	3	1	0	0	6	0	5	1	0	0	2	2	1	3	1	0	1	1	1	6	2	2	0	4	1	2	1	0	1	6	0	2	2	1	1	2	1	3	4	1	8	1	0	3	5	5	4	3	2	5	0	1	2	2	1	4	1	2	2	1	0	8	2	0	0	1	1	1	0	0	1	0	2	2	1	1	0	0	4	2	1	0	0	3	1	2	1	1	12	1	5	0	1	3	4	1	0	2	1	1	0
